journal
Acta Psychologica
Addictive Behaviors
Addictive Behaviors Reports
Ageing Research Reviews
Aggression and Violent Behavior
Annales Médico-Psychologiques
Applied Ergonomics
Archives of Gerontology and Geriatrics
Behavior Therapy
Behaviour Research and Therapy
Behavioural Processes
Biochimica et Biophysica Acta: Molecular Basis of Disease
Biological Psychology
Body Image
Brain and Cognition
Brain and Language
Child Abuse & Neglect
Children and Youth Services Review
Clinical Psychology Review
Clinics in Geriatric Medicine
Cognition
Cognitive and Behavioral Practice
Cognitive Development
Cognitive Psychology
Cognitive Systems Research
Computers in Human Behavior
Computers in Human Behavior Reports
Consciousness and Cognition
Contemporary Educational Psychology
Current Opinion in Psychology
Current Research in Behavioral Sciences
Developmental Review
Early Childhood Research Quarterly
Eating Behaviors
"Emotion, Space and Society"
European Journal of Obstetrics & Gynecology and Reproductive Biology
European Journal of Trauma & Dissociation
European Review of Applied Psychology
Evolution and Human Behavior
Experimental Gerontology
Forensic Science International
Forensic Science International: Genetics
Forensic Science International: Mind and Law
Geriatric Nursing
Human Movement Science
Human Resource Management Review
Infant Behavior and Development
Intelligence
International Journal of Child-Computer Interaction
International Journal of Clinical and Health Psychology
International Journal of Educational Research
International Journal of Human-Computer Studies
International Journal of Psychophysiology
Internet Interventions
Journal of Adolescence
Journal of Aging Studies
Journal of Anxiety Disorders
Journal of Applied Developmental Psychology
Journal of Applied Research in Memory and Cognition
Journal of Behavior Therapy and Experimental Psychiatry
Journal of Behavioral and Experimental Finance
Journal of Business Research
Journal of Business Venturing
Journal of Choice Modelling
Journal of Contextual Behavioral Science
Journal of Economic Behavior & Organization
Journal of Economic Psychology
Journal of Environmental Psychology
Journal of Experimental Child Psychology
Journal of Experimental Social Psychology
Journal of Family Business Strategy
Journal of Financial Economics
Journal of Forensic and Legal Medicine
Journal of Mathematical Psychology
Journal of Memory and Language
Journal of Neurolinguistics
Journal of Nutrition Education and Behavior
Journal of Obsessive-Compulsive and Related Disorders
Journal of Psychiatric Research
Journal of Psychosomatic Research
Journal of Research in Personality
Journal of Retailing and Consumer Services
Journal of School Psychology
Journal of Science and Medicine in Sport
Journal of Substance Abuse Treatment
Journal of the American Medical Directors Association
Journal of Vocational Behavior
Journal of World Business
Learning and Individual Differences
Learning and Motivation
Legal Medicine
Maturitas
Mechanisms of Ageing and Development
Mental Health and Physical Activity
Methods in Psychology
Neural Networks
Neuropsychiatrie de l'Enfance et de l'Adolescence
Neuropsychologia
Neuroscience & Biobehavioral Reviews
New Ideas in Psychology
Nutrition
Nutrition Research
Organizational Behavior and Human Decision Processes
Organizational Dynamics
Osteoporosis and Sarcopenia
Parkinsonism & Related Disorders
Personality and Individual Differences
Pratiques Psychologiques
Psychologie du Travail et des Organisations
Psychologie Française
Psychology of Sport and Exercise
Research in Autism Spectrum Disorders
Research in Developmental Disabilities
Revista de la Educación Superior
Revista de Psicodidáctica
Science & Justice
Sexologies
Sleep Medicine
Soins: Gérontologie
Sport Management Review
The Arts in Psychotherapy
The International Journal of Management Education
The Internet and Higher Education
The Journal of Mathematical Behavior
The Journal of Nutritional Biochemistry
The Journal of Social Studies Research
The Lancet Healthy Longevity
The Leadership Quarterly
Transportation Research Part F: Traffic Psychology and Behaviour
Trends in Cognitive Sciences
Trends in Neuroscience and Education
