journal
Affilia
American Behavioral Scientist
Applied Psychological Measurement
Archive for the Psychology of Religion
Assessment
Assessment for Effective Intervention
Autism
Autism & Developmental Language Impairments
Behavior Modification
Behavioral and Cognitive Neuroscience Reviews
British Journal of Music Therapy
Canadian Journal of School Psychology
Career Development and Transition for Exceptional Individuals
Child Language Teaching and Therapy
Clinical Case Studies
Clinical Child Psychology and Psychiatry
Clinical Psychological Science
Comprehensive Psychology
The Counseling Psychologist
Criminal Justice and Behavior
Culture & Psychology
A Current Bibliography on African Affairs
Current Directions in Psychological Science
Developmental Child Welfare
Dramatherapy
Educational and Psychological Measurement
Emerging Adulthood
Emotion Review
Environment and Behavior
Ergonomics in Design
Evolutionary Psychology
The Family Journal
Feminism & Psychology
First Language
Focus on Autism and Other Developmental Disabilities
Group Analysis
Group Processes & Intergroup Relations
Health Education & Behavior
Health Psychology Open
Hispanic Journal of Behavioral Sciences
History of Psychiatry
Human Factors
Humanity & Society
i-Perception
"Illness, Crisis & Loss"
"Imagination, Cognition and Personality"
Implementation Research and Practice
Indian Journal of Psychological Medicine
International Journal of Behavioral Development
The International Journal of Psychiatry in Medicine
Intervention in School and Clinic
Journal of Adolescent Research
Journal of Advanced Academics
Journal of Attention Disorders
Journal of Black Psychology
Journal of Career Assessment
Journal of Career Development
Journal of Cognitive Engineering and Decision Making
Journal of Cross-Cultural Psychology
The Journal of Early Adolescence
Journal of Early Intervention
Journal of Emotional and Behavioral Disorders
Journal of Family History
Journal of Health and Social Behavior
Journal of Health Psychology
Journal of Humanistic Psychology
Journal of Intellectual Disabilities
Journal of Language and Social Psychology
Journal of Learning Disabilities
Journal of Pastoral Care & Counseling
Journal of Positive Behavior Interventions
Journal of Prevention and Health Promotion
Journal of Psychoeducational Assessment
Journal of Social and Personal Relationships
The Journal of Special Education
Journal of Spiritual Formation and Soul Care
Journal of the American Psychoanalytic Association
Measurement and Evaluation in Counseling and Development
Memory Studies
Musicae Scientiae
OMEGA - Journal of Death and Dying
Organizational Psychology Review
Perception
Perceptual and Motor Skills
Personality and Social Psychology Bulletin
Personality and Social Psychology Review
Perspectives on Psychological Science
Policy Insights from the Behavioral and Brain Sciences
Proceedings of the Human Factors and Ergonomics Society Annual Meeting
Proceedings of the International Symposium on Human Factors and Ergonomics in Health Care
Professional School Counseling
Psychological Reports
Psychological Science
Psychological Science in the Public Interest
Psychology and Developing Societies
Psychology of Music
Psychology of Women Quarterly
Quarterly Journal of Experimental Psychology
Rehabilitation Counseling Bulletin
Remedial and Special Education
Research on Aging
Research on Social Work Practice
Research Studies in Music Education
Review of General Psychology
Reviews of Human Factors and Ergonomics
Revista Internacional de Educacion Musical
SAGE Open
"Scars, Burns & Healing"
School Psychology International
Sexual Abuse
"Sexualization, Media, & Society"
Social Psychological and Personality Science
Social Psychology Quarterly
Society and Mental Health
South African Journal of Psychology
Teaching of Psychology
Theory & Psychology
Topics in Early Childhood Special Education
Traumatology
Young Exceptional Children
